"","id","nm","lat","lon","countryCode","cityid","g","dt_txt","temp","pressure","humidity","temp_min","temp_max","weather_id","weather_main","weather_description","weather_icon","wind_speed","wind_deg","clouds_all","visibility","dt","name","coord_lon","coord_lat","sys_country","sys_timezone","sys_sunrise","sys_sunset","feels_like","sea_level","grnd_level"
"212",3665542,"Zipaquira",5.02208,-74.004807,"CO","COzipaquira",10,"2020-04-30 12:14:53",294.15,1029,46,294.15,294.15,803,"Clouds","broken clouds","04d",3.6,110,75,10000,1588266893,"Zipaquira",-74,5.02,"CO",-18000,1588243453,1588287713,291.4,NA,NA
"213",3666608,"Tunja",5.53528,-73.367783,"CO","COtunja",11,"2020-04-30 12:14:53",289.48,1013,36,289.48,289.48,500,"Rain","light rain","10d",1.92,144,69,NA,1588266893,"Tunja",-73.37,5.54,"CO",-18000,1588243267,1588287596,286.34,1013,737
"214",3667807,"Sopo",4.9075,-73.9384,"CO","COsopo",12,"2020-04-30 12:14:53",294.15,1029,46,294.15,294.15,803,"Clouds","broken clouds","04d",3.6,110,75,10000,1588266893,"Sopo",-73.94,4.91,"CO",-18000,1588243445,1588287692,291.4,NA,NA
"215",3687964,"Calarca",4.52949,-75.640907,"CO","COcalarca",13,"2020-04-30 12:14:58",298.15,1020,73,298.15,298.15,803,"Clouds","broken clouds","04d",0.7,251,75,10000,1588266898,"Calarca",-75.64,4.53,"CO",-18000,1588243878,1588288075,301.27,NA,NA
"216",3666304,"Valledupar",10.46314,-73.25322,"CO","COvalledupar",14,"2020-04-30 12:14:53",306.15,1014,49,306.15,306.15,803,"Clouds","broken clouds","04d",2.6,40,75,10000,1588266893,"Valledupar",-73.25,10.46,"CO",-18000,1588242913,1588287892,308.43,NA,NA
"217",3674885,"Melgar",4.20475,-74.640747,"CO","COmelgar",15,"2020-04-30 12:14:58",303.9,1014,54,303.9,303.9,500,"Rain","light rain","10d",1.1,286,37,NA,1588266898,"Melgar",-74.64,4.2,"CO",-18000,1588243659,1588287814,307,1014,975
"218",3682573,"Espinal",4.14924,-74.884293,"CO","COespinal",16,"2020-04-30 12:14:58",304.2,1014,55,304.2,304.2,802,"Clouds","scattered clouds","03d",0.77,182,44,NA,1588266898,"Espinal",-74.88,4.15,"CO",-18000,1588243720,1588287868,307.81,1014,978
"219",3679277,"La Dorada",5.44783,-74.663109,"CO","COla dorada",17,"2020-04-30 12:14:58",304.74,1013,62,304.74,304.74,500,"Rain","light rain","10d",0.27,280,60,NA,1588266898,"La Dorada",-74.66,5.45,"CO",-18000,1588243583,1588287900,310.02,1013,993
"220",3687644,"Candelaria",3.40671,-76.34819,"CO","COcandelaria",18,"2020-04-30 12:14:58",301.15,1018,65,301.15,301.15,802,"Clouds","scattered clouds","03d",1,NA,40,10000,1588266898,"Candelaria",-76.35,3.41,"CO",-18000,1588244121,1588288173,304.53,NA,NA
"221",3673164,"Palmira",3.53944,-76.303612,"CO","COpalmira",19,"2020-04-30 12:14:58",301.15,1018,65,301.15,301.15,802,"Clouds","scattered clouds","03d",1,NA,40,10000,1588266898,"Palmira",-76.3,3.54,"CO",-18000,1588244100,1588288169,304.53,NA,NA
"222",3668028,"Silvania",4.40367,-74.386703,"CO","COsilvania",20,"2020-04-30 12:14:53",294.15,1029,46,294.15,294.15,803,"Clouds","broken clouds","04d",3.6,110,75,10000,1588266893,"Silvania",-74.39,4.4,"CO",-18000,1588243586,1588287766,291.4,NA,NA
"223",3669332,"San Martin",3.69637,-73.699577,"CO","COsan martin",1,"2020-04-30 12:14:53",302.15,1016,70,302.15,302.15,802,"Clouds","scattered clouds","03d",2.02,76,40,10000,1588266893,"San Martin",-73.7,3.7,"CO",-18000,1588243466,1588287556,305.96,NA,NA
"224",3666502,"Ulloa",4.70444,-75.74028,"CO","COulloa",2,"2020-04-30 12:14:53",298.15,1020,78,298.15,298.15,802,"Clouds","scattered clouds","03d",2.6,330,40,10000,1588266893,"Ulloa",-75.74,4.7,"CO",-18000,1588243891,1588288110,300.46,NA,NA
"225",3689833,"Anserma",5.33278,-75.791107,"CO","COanserma",3,"2020-04-30 12:14:59",298.15,1020,78,298.15,298.15,802,"Clouds","scattered clouds","03d",2.6,330,40,10000,1588266899,"Anserma",-75.79,5.33,"CO",-18000,1588243862,1588288163,300.46,NA,NA
"226",3667290,"Tenjo",4.8727,-74.144348,"CO","COtenjo",4,"2020-04-30 12:14:53",294.15,1029,46,294.15,294.15,803,"Clouds","broken clouds","04d",3.6,110,75,10000,1588266893,"Tenjo",-74.14,4.87,"CO",-18000,1588243496,1588287737,291.4,NA,NA
"227",3670745,"Riohacha",11.54444,-72.907219,"CO","COriohacha",5,"2020-04-30 12:14:53",307.15,1012,46,307.15,307.15,801,"Clouds","few clouds","02d",7.2,80,20,10000,1588266893,"Riohacha",-72.91,11.54,"CO",-18000,1588242759,1588287884,306.15,NA,NA
"228",3689570,"Arjona",10.25444,-75.343887,"CO","COarjona",6,"2020-04-30 12:14:59",306.15,1011,63,306.15,306.15,801,"Clouds","few clouds","02d",4.1,220,20,10000,1588266899,"Arjona",-75.34,10.25,"CO",-18000,1588243429,1588288380,309.7,NA,NA
"229",3667717,"Suesca",5.10289,-73.798447,"CO","COsuesca",7,"2020-04-30 12:14:53",294.15,1029,46,294.15,294.15,803,"Clouds","broken clouds","04d",3.6,110,75,10000,1588266893,"Suesca",-73.8,5.1,"CO",-18000,1588243399,1588287670,291.4,NA,NA
"230",3686233,"Circasia",4.61889,-75.635834,"CO","COcircasia",8,"2020-04-30 12:14:58",298.15,1020,73,298.15,298.15,803,"Clouds","broken clouds","04d",1.1,252,75,10000,1588266898,"Circasia",-75.64,4.62,"CO",-18000,1588243872,1588288081,300.99,NA,NA
"231",3679554,"La Ceja",6.03082,-75.431503,"CO","COla ceja",9,"2020-04-30 12:14:58",292.47,1028,77,292.04,293.15,802,"Clouds","scattered clouds","03d",3.1,200,40,10000,1588266898,"La Ceja",-75.43,6.03,"CO",-18000,1588243730,1588288122,291.98,NA,NA
"232",3667820,"Sonson",5.71062,-75.310677,"CO","COsonson",10,"2020-04-30 12:14:53",292.47,1028,77,292.04,293.15,802,"Clouds","scattered clouds","03d",3.1,200,40,10000,1588266893,"Sonson",-75.31,5.71,"CO",-18000,1588243722,1588288073,291.98,NA,NA
"233",3686272,"Cienaga de Oro",8.87443,-75.620277,"CO","COcienaga de oro",11,"2020-04-30 12:14:58",305.15,1012,66,305.15,305.15,803,"Clouds","broken clouds","04d",2.56,261,75,10000,1588266898,"Cienaga de Oro",-75.62,8.87,"CO",-18000,1588243588,1588288355,309.68,NA,NA
"234",3670419,"Sahagun",8.94616,-75.442749,"CO","COsahagun",12,"2020-04-30 12:14:53",305.15,1012,66,305.15,305.15,803,"Clouds","broken clouds","04d",2.55,245,75,10000,1588266893,"Sahagun",-75.44,8.95,"CO",-18000,1588243540,1588288317,309.68,NA,NA
"235",3686922,"Cerete",8.88479,-75.79052,"CO","COcerete",13,"2020-04-30 12:14:58",305.15,1012,66,305.15,305.15,803,"Clouds","broken clouds","04d",2.5,269,75,10000,1588266898,"Cerete",-75.79,8.88,"CO",-18000,1588243628,1588288396,309.72,NA,NA
"236",3666577,"Turbaco",10.32944,-75.411369,"CO","COturbaco",14,"2020-04-30 12:14:53",306.15,1011,63,306.15,306.15,801,"Clouds","few clouds","02d",4.1,220,20,10000,1588266893,"Turbaco",-75.41,10.33,"CO",-18000,1588243440,1588288402,309.7,NA,NA
"237",3688006,"Cajica",4.91857,-74.027992,"CO","COcajica",15,"2020-04-30 12:14:58",294.15,1029,46,294.15,294.15,803,"Clouds","broken clouds","04d",3.6,110,75,10000,1588266898,"Cajica",-74.03,4.92,"CO",-18000,1588243466,1588287714,291.4,NA,NA
